"_id","TimeStamp","PayloadDeviceType","PayloadString","Protocol"
"5df53174b29815eecf2942dc","2019-12-14T19:01:08.827Z",1,"46454d44473836393836373033303336393936333839393132373231373332303939353036363446312e3030312e303010566f646118c088c8414e1a15b0424519121419000004000000006d00289aa1","IP"
"5df53174b29815eecf2942db","2019-12-14T19:01:08.757Z",1,"46454d44473836393836373033303337303735353839393132373231373332303939353038313346312e3030312e303010566f6461163d71d4414eea6db2424519121419000005000000006f0029b273","IP"
"5df53174b29815eecf2942da","2019-12-14T19:01:08.559Z",1,"46454d44473836393836373033303337303831333839393132373231373332303939353037353546312e3030312e303010566f64610fbebced414e610b94424519121419000004000000006c0029d2db","IP"
"5df53174b29815eecf2942d9","2019-12-14T19:01:08.381Z",1,"46454d44473836393836373033303337303734383839393132373231373332303939353037363346312e3030312e303010566f64611574ebbe414e4501b0424519121419000004000000006d002922ca","IP"
"5df53174b29815eecf2942d8","2019-12-14T19:01:08.302Z",1,"504f5354202f6170692f536d61727446756e6e656c2f534d533f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f342e39390d0a486f73743a20736d61727464672e696e3a","IP"
"5df53174b29815eecf2942d7","2019-12-14T19:01:08.253Z",1,"46454d44473836313335393033373439303032343839393132373231373232303736353738313846312e3030312e303010566f646114bffea0414e6bef944245191214190000040000000086002d0b6e","IP"
"5df53173b29815eecf2942d6","2019-12-14T19:01:07.907Z",1,"46454d44473836393836373033303336393639303839393132373231373332303939353037303646312e3030312e303010566f6461137a7fb3414eb52eb1424519121419000005000000006e0028f998","IP"
"5df53173b29815eecf2942d5","2019-12-14T19:01:07.709Z",1,"46454d44473836393836373033303238353731343839393132373231373332303939353130373646312e3030312e303010496465611a80d4af414e9a37a6424519121419000005000000006e00296748","IP"
"5df53173b29815eecf2942d4","2019-12-14T19:01:07.452Z",1,"46454d44473836393836373033303231313830313839393132373231373332303939353231383146312e3030312e3030104964656112bf46be414e18939e424519121419000006000000007000291a0c","IP"
"5df53173b29815eecf2942d3","2019-12-14T19:01:07.145Z",1,"46454d44473836393836373033303337303739373839393132373231373332303939353236323946312e3030312e303010496465610c9521bc414e77979b42451912141900000400000000710029a471","IP"
"5df53172b29815eecf2942d2","2019-12-14T19:01:06.931Z",1,"46454d44473836393836373033303337303832313839393132373231373332303939353332383846312e3030312e303010496465611aa465be414eec5da5424519121419000005000000006b00285f57","IP"
"5df53172b29815eecf2942d1","2019-12-14T19:01:06.596Z",1,"46454d44473836393836373033303238343339343839393132373231373332303939353132373446312e3030312e303010566f64610de8f9b0414ea88cb1424519121419000005000000006c00298947","IP"
"5df53172b29815eecf2942d0","2019-12-14T19:01:06.476Z",1,"46454d44473836393836373033303336373736393839393132373231373332303939353332333946312e3030312e3030104964656116a77cba414e61a69a424519121419000006000000007100295e1c","IP"
"5df53172b29815eecf2942cf","2019-12-14T19:01:06.210Z",1,"46454d44473836393836373033303336383035363839393132373231373332303939353333313246312e3030312e3030104964656117b9e0bd414e4399a5424519121419000004000000006e0028c6ad","IP"
"5df53171b29815eecf2942ce","2019-12-14T19:01:05.963Z",1,"46454d44473836393836373033303337303534303839393132373231373332303939353039333846312e3030312e303010496465611a5bf4b1414e080298424519121419000004000000007000288d41","IP"
"5df53171b29815eecf2942cd","2019-12-14T19:01:05.784Z",1,"46454d44473836393836373033303238333637373839393132373231373332303939353139363946312e3030312e30301049646561125788ba414e90eb9a424519121419000004000000006d00284f13","IP"
"5df53171b29815eecf2942cc","2019-12-14T19:01:05.545Z",1,"46454d44473836393836373033303238333431323839393132373231373332303939353137343646312e3030312e303010566f646115d458e0414e1fa4964245191214190000040000000070002913ab","IP"
"5df53171b29815eecf2942cb","2019-12-14T19:01:05.319Z",1,"46454d44473836393836373033303337303735353839393132373231373332303939353038313346312e3030312e303010566f6461163d71d4414eea6db2424519121419000005000000006f0029b273","IP"
"5df53171b29815eecf2942ca","2019-12-14T19:01:05.050Z",1,"46454d44473836393836373033303336393936333839393132373231373332303939353036363446312e3030312e303010566f646118c088c8414e1a15b0424519121419000004000000006d00289aa1","IP"
"5df53170b29815eecf2942c9","2019-12-14T19:01:04.755Z",1,"46454d44473836393836373033303337303831333839393132373231373332303939353037353546312e3030312e303010566f64610fbebced414e610b94424519121419000004000000006c0029d2db","IP"
"5df53170b29815eecf2942c8","2019-12-14T19:01:04.527Z",1,"46454d44473836393836373033303231313830313839393132373231373332303939353231383146312e3030312e3030104964656112bf46be414e18939e424519121419000006000000007000291a0c","IP"
